Plant_Code,Product_ID,Ship_ahead_day_count,Ship_Late_Day_count,Destination_Port,Unit_quantity,Weight
PLANT16,1700106,3,0,PORT09,808,14.3
PLANT16,1700106,3,0,PORT09,3188,87.94
PLANT16,1700106,3,0,PORT09,2331,61.2
PLANT16,1700106,3,0,PORT09,847,16.16
PLANT16,1700106,3,0,PORT09,2163,52.34
PLANT16,1700106,3,0,PORT09,3332,92.8
PLANT16,1700106,3,0,PORT09,1782,46.9
PLANT16,1700106,3,0,PORT09,427,2.86
PLANT16,1700106,3,0,PORT09,1291,26.6
PLANT16,1700106,3,0,PORT09,2294,62.2
PLANT16,1700106,3,0,PORT09,2766,75.5
PLANT16,1700106,3,0,PORT09,798,14.3
PLANT16,1697884,3,0,PORT09,739,73.9
PLANT16,1697884,3,0,PORT09,280,7.8
PLANT16,1697884,3,0,PORT09,574,59.5
PLANT16,1697884,3,0,PORT09,556,52.7
PLANT16,1697884,3,0,PORT09,544,58.5
PLANT16,1697884,3,0,PORT09,1151,181.7
PLANT16,1697884,3,0,PORT09,1404,227.2
PLANT16,1697884,3,0,PORT09,662,74.1
PLANT16,1699336,3,0,PORT09,836,80.43
PLANT16,1702652,3,0,PORT09,2063,265.1
PLANT16,1699337,3,0,PORT09,2114,267.1
PLANT16,1699337,3,0,PORT09,2108,271.1
PLANT16,1699336,3,0,PORT09,1120,112.6
PLANT16,1702654,3,0,PORT09,706,61.8
PLANT16,1699336,3,0,PORT09,889,107.88
PLANT16,1702652,3,0,PORT09,1793,216.57
PLANT16,1702652,3,0,PORT09,491,27.81
PLANT16,1699337,3,0,PORT09,1044,112.6
PLANT16,1702653,3,0,PORT09,447,32.9
PLANT16,1699336,3,0,PORT09,328,13.36
PLANT16,1702652,3,0,PORT09,973,106.88
PLANT16,1702652,3,0,PORT09,1179,129.14
PLANT16,1702653,3,0,PORT09,814,74.25
PLANT16,1699336,3,0,PORT09,1464,171.22
PLANT16,1699337,3,0,PORT09,347,6.18
PLANT16,1699336,3,0,PORT09,771,77.25
PLANT16,1702652,3,0,PORT09,469,27.9
PLANT16,1699336,3,0,PORT09,382,15.45
PLANT16,1699337,3,0,PORT09,507,43.17
PLANT16,1699336,3,0,PORT09,419,16.45
PLANT16,1702654,3,0,PORT09,452,33.9
PLANT16,1699336,3,0,PORT09,486,24.72
PLANT16,1699336,3,0,PORT09,729,60.8
PLANT16,1702652,3,0,PORT09,366,19.54
PLANT16,1702653,3,0,PORT09,539,43.26
PLANT16,1699337,3,0,PORT09,304,9.27
PLANT16,1699337,3,0,PORT09,544,46.35
PLANT16,1699337,3,0,PORT09,679,65.8
PLANT16,1699336,3,0,PORT09,868,101.7
PLANT16,1702654,3,0,PORT09,672,66.8
PLANT16,1699336,3,0,PORT09,890,84.7
PLANT16,1699336,3,0,PORT09,801,78.34
PLANT16,1702652,3,0,PORT09,605,46.35
PLANT16,1699337,3,0,PORT09,897,89.7
PLANT16,1697883,3,0,PORT09,840,83.4
PLANT16,1697883,3,0,PORT09,631,50.68
PLANT16,1700035,3,0,PORT09,1287,15.4
PLANT16,1700035,3,0,PORT09,3308,48.2
PLANT16,1700035,3,0,PORT09,2233,31.26
PLANT16,1700035,3,0,PORT09,1276,16.4
PLANT16,1700035,3,0,PORT09,1325,14.4
PLANT16,1700035,3,0,PORT09,735,7.7
PLANT16,1700035,3,0,PORT09,1294,16.4
PLANT16,1700035,3,0,PORT09,696,6.16
PLANT16,1700035,3,0,PORT09,3333,42.2
PLANT16,1700035,3,0,PORT09,2928,38.04
PLANT16,1700035,3,0,PORT09,1279,14.4
PLANT16,1700035,3,0,PORT09,1320,16.4
PLANT16,1700035,3,0,PORT09,2285,32.8
PLANT16,1700035,3,0,PORT09,1819,23.1
PLANT16,1700035,3,0,PORT09,339,1.54
PLANT16,1700035,3,0,PORT09,4302,66.6
PLANT16,1700035,3,0,PORT09,3322,42.2
PLANT16,1700035,3,0,PORT09,781,7.7
PLANT16,1700035,3,0,PORT09,3266,43.2
PLANT16,1697317,3,0,PORT09,2716,457.16
PLANT16,1696799,3,0,PORT09,1498,245.08
PLANT16,1696799,3,0,PORT09,617,54.52
PLANT16,1696799,3,0,PORT09,898,113.04
PLANT16,1696799,3,0,PORT09,555,56.52
PLANT16,1697317,3,0,PORT09,4377,820.44
PLANT16,1697317,3,0,PORT09,540,60.52
PLANT16,1697317,3,0,PORT09,887,121.04
PLANT16,1696799,3,0,PORT09,1803,302.6
PLANT16,1697317,3,0,PORT09,936,144.88
PLANT16,1697317,3,0,PORT09,2040,368.12
PLANT16,1696799,3,0,PORT09,3003,498.68
PLANT16,1697317,3,0,PORT09,2095,384.12
PLANT16,1696799,3,0,PORT09,2034,337.12
PLANT16,1696799,3,0,PORT09,973,136.88
PLANT16,1697317,3,0,PORT09,529,37.68
PLANT16,1696799,3,0,PORT09,2992,525.68
PLANT16,1696799,3,0,PORT09,2066,369.12
PLANT16,1696799,3,0,PORT09,3914,644.24
PLANT16,1697317,3,0,PORT09,1222,164.56
PLANT16,1696799,3,0,PORT09,3876,717.24
PLANT16,1697317,3,0,PORT09,2079,345.12
PLANT16,1697317,3,0,PORT09,1136,184.56
PLANT16,1696799,3,0,PORT09,3931,777.24
PLANT16,1696799,3,0,PORT09,2393,434.64
PLANT16,1697317,3,0,PORT09,1655,257.76
PLANT16,1697317,3,0,PORT09,2078,345.12
PLANT16,1697317,3,0,PORT09,946,148.88
PLANT16,1697317,3,0,PORT09,2120,335.12
PLANT16,1697317,3,0,PORT09,1230,195.56
PLANT16,1697317,3,0,PORT09,2115,344.12
PLANT16,1696799,3,0,PORT09,2045,346.12
PLANT16,1697317,3,0,PORT09,935,134.88
PLANT16,1697317,3,0,PORT09,2943,540.68
PLANT16,1697317,3,0,PORT09,2936,567.68
PLANT16,1696799,3,0,PORT09,2985,484.68
PLANT16,1697317,3,0,PORT09,2938,521.68
PLANT16,1697317,3,0,PORT09,716,83.36
PLANT16,1696799,3,0,PORT09,4464,813.28
PLANT16,1696799,3,0,PORT09,2109,331.12
PLANT16,1696799,3,0,PORT09,2978,504.68
PLANT16,1696799,3,0,PORT09,2100,333.12
PLANT16,1697317,3,0,PORT09,2066,341.12
PLANT16,1697317,3,0,PORT09,2972,508.68
PLANT16,1697317,3,0,PORT09,2069,348.12
PLANT16,1697317,3,0,PORT09,2233,404.8
PLANT16,1697317,3,0,PORT09,2088,353.12
PLANT16,1696798,3,0,PORT09,2665,417.92
PLANT16,1696798,3,0,PORT09,1961,308.36
PLANT16,1696798,3,0,PORT09,2974,524.16
PLANT16,1696798,3,0,PORT09,2322,397.6
PLANT16,1696798,3,0,PORT09,950,132.56
PLANT16,1696798,3,0,PORT09,1942,292.36
PLANT16,1696798,3,0,PORT09,352,19.08
PLANT16,1696798,3,0,PORT09,1208,176.72
PLANT16,1696798,3,0,PORT09,2117,293.44
PLANT16,1696798,3,0,PORT09,2087,341.44
PLANT16,1696798,3,0,PORT09,3927,608.88
PLANT16,1696798,3,0,PORT09,4090,641.04
PLANT16,1696798,3,0,PORT09,3851,704.88
PLANT16,1696798,3,0,PORT09,3927,619.88
PLANT16,1696798,3,0,PORT09,3845,676.88
PLANT03,1699333,0,0,PORT09,1529,3.008251427
PLANT03,1699268,0,0,PORT09,1495,2.653359699
PLANT03,1699268,0,0,PORT09,899,1.326679849
PLANT03,1699268,0,0,PORT09,1437,2.653359699
PLANT03,1699584,0,0,PORT09,1914,5.94
PLANT03,1699584,0,0,PORT09,1956,5.94
PLANT03,1699584,0,0,PORT09,1964,5.94
PLANT03,1699584,0,0,PORT09,1961,5.94
PLANT03,1699584,0,0,PORT09,3624,11.82
PLANT03,1699562,0,0,PORT09,4802,8.892328134
PLANT03,1699562,0,0,PORT09,4871,8.892328134
PLANT03,1699562,0,0,PORT09,1768,2.964109378
PLANT03,1699564,0,0,PORT09,10054,8.931931144
PLANT03,1699564,0,0,PORT09,14988,13.39789672
PLANT03,1699564,0,0,PORT09,10079,8.931931144
PLANT03,1699561,0,0,PORT09,12802,10.8954652
PLANT03,1699561,0,0,PORT09,5308,4.35818608
PLANT03,1699561,0,0,PORT09,10309,8.716372159
PLANT03,1699561,0,0,PORT09,10235,8.716372159
PLANT03,1699561,0,0,PORT09,10295,8.716372159
PLANT03,1699793,0,0,PORT09,1910,5.92
PLANT03,1700980,0,0,PORT09,2840,5.76
PLANT03,1699792,0,0,PORT09,12737,9.302254114
PLANT03,1699792,0,0,PORT09,42789,28.62766399
PLANT03,1699792,0,0,PORT09,7821,5.581352469
PLANT03,1699792,0,0,PORT09,20304,13.88360658
PLANT03,1699792,0,0,PORT09,15243,11.16270494
PLANT03,1699792,0,0,PORT09,10279,7.441803291
PLANT03,1699314,0,0,PORT09,1156,6.446666667
PLANT03,1699314,0,0,PORT09,1233,6.44
PLANT03,1699314,0,0,PORT09,1196,6.4
PLANT03,1699315,0,0,PORT09,19176,51.97976608
PLANT03,1699315,0,0,PORT09,5648,16.7085046
PLANT03,1699312,0,0,PORT09,3905,9.471312
PLANT03,1699795,0,0,PORT09,6662,13.33134639
PLANT03,1699795,0,0,PORT09,13116,30.66269278
PLANT03,1699795,0,0,PORT09,1847,3.582836597
PLANT03,1699795,0,0,PORT09,6694,13.33134639
PLANT03,1699795,0,0,PORT09,3505,7.165673194
PLANT03,1699795,0,0,PORT09,6652,14.33134639
PLANT03,1699795,0,0,PORT09,5125,10.74850979
PLANT03,1699797,0,0,PORT09,5966,8.199930523
PLANT03,1699797,0,0,PORT09,4060,5.466620348
PLANT03,1699797,0,0,PORT09,11655,17.39986105
PLANT03,1699797,0,0,PORT09,6010,8.199930523
PLANT03,1699797,0,0,PORT09,7920,11.9332407
PLANT03,1699371,0,0,PORT09,6005,5.8977068
PLANT03,1699371,0,0,PORT09,2249,1.965902267
PLANT03,1699836,0,0,PORT09,12243,118.74
PLANT03,1699836,0,0,PORT09,3864,33.86
PLANT03,1699329,0,0,PORT09,8665,45.19328472
PLANT03,1699329,0,0,PORT09,858,3.156663194
PLANT03,1699329,0,0,PORT09,2677,13.62665278
PLANT03,1699329,0,0,PORT09,854,3.156663194
PLANT03,1699327,0,0,PORT09,926,2.697477693
PLANT03,1699623,0,0,PORT09,10531,39.18065154
PLANT03,1699625,0,0,PORT09,12240,46.29109617
PLANT03,1699625,0,0,PORT09,840,2.114554808
PLANT03,1699625,0,0,PORT09,9288,34.71832212
PLANT03,1699625,0,0,PORT09,844,2.114554808
PLANT03,1699625,0,0,PORT09,15926,56.97842501
PLANT03,1699248,0,0,PORT09,1445,3.987005723
PLANT03,1699248,0,0,PORT09,3291,9.967514308
PLANT03,1699248,0,0,PORT09,3250,9.967514308
PLANT03,1699416,0,0,PORT09,4500,12.79197484
PLANT03,1699416,0,0,PORT09,5049,15.76225696
PLANT03,1699416,0,0,PORT09,2682,7.88112848
PLANT03,1699416,0,0,PORT09,5088,15.76225696
PLANT03,1699418,0,0,PORT09,14093,48.30336532
PLANT03,1699418,0,0,PORT09,890,1.926233275
PLANT03,1699419,0,0,PORT09,5092,13.15486052
PLANT03,1699419,0,0,PORT09,2708,7.077430258
PLANT03,1699419,0,0,PORT09,7494,23.23229077
PLANT03,1699419,0,0,PORT09,2704,7.077430258
PLANT03,1699419,0,0,PORT09,9853,29.30972103
PLANT03,1699419,0,0,PORT09,12895,39.15650885
PLANT03,1699419,0,0,PORT09,5075,15.15486052
PLANT03,1699419,0,0,PORT09,897,1.769357565
PLANT03,1699419,0,0,PORT09,2700,7.077430258
PLANT03,1699417,0,0,PORT09,10274,22.58849844
PLANT03,1699417,0,0,PORT09,10333,21.58849844
PLANT03,1699417,0,0,PORT09,7282,16.51194891
PLANT03,1699417,0,0,PORT09,4314,9.435399377
PLANT03,1699417,0,0,PORT09,5323,12.79424922
PLANT03,1699417,0,0,PORT09,3318,7.076549533
PLANT03,1699378,0,0,PORT09,3324,5.338981995
PLANT03,1699378,0,0,PORT09,12256,23.35592798
